,game_id,passer_player_name,posteam,defteam,season,week,passing_yards,home_flag_passer,pass_attempts,roof,surface,completion_percentage_ewma_passer,pass_attempts_ewma_passer,air_yards_ewma_passer,yards_after_catch_ewma_passer,epa_ewma_passer,interception_ewma_passer,qb_hit_ewma_passer,sack_ewma_passer,pass_touchdown_ewma_passer,passing_yards_ewma_passer,cpoe_ewma_passer,home_flag_defense,completion_percentage_ewma_defense,pass_attempts_ewma_defense,air_yards_ewma_defense,yards_after_catch_ewma_defense,epa_ewma_defense,interception_ewma_defense,qb_hit_ewma_defense,sack_ewma_defense,pass_touchdown_ewma_defense,passing_yards_ewma_defense,cpoe_ewma_defense
708,2016_03_BAL_JAX,B.Bortles,JAX,BAL,2016,3,194.0,True,35.0,outdoors,grass,0.6422697156667709,45.5,396.25,157.0,-5.510688185691833,1.75,3.25,2.2499999999999996,1.75,326.75,-1.8237934112548826,False,0.6543255001306534,28.75,368.49999999999994,75.74999999999999,6.162765204906463,1.4999999999999998,7.499999999999999,2.75,1.4999999999999998,222.74999999999997,3.13001948595047
709,2016_04_IND_JAX,B.Bortles,JAX,IND,2016,4,207.0,True,33.0,outdoors,grass,0.6723467386685884,38.230769230769226,344.15384615384613,107.84615384615383,-9.081510653862585,2.615384615384615,5.153846153846153,3.4615384615384612,1.9230769230769227,234.84615384615387,-1.4202289856397188,False,0.6813363066086402,37.38461538461538,245.3076923076923,165.69230769230765,4.671014529008131,0.23076923076923075,4.384615384615384,1.6923076923076923,0.23076923076923075,313.23076923076917,2.8309283577478848
710,2016_06_JAX_CHI,B.Bortles,JAX,CHI,2016,6,271.0,False,32.0,outdoors,grass,0.6071490451693534,34.7,252.25,129.54999999999998,1.1181592226028436,0.8500000000000001,5.724999999999999,3.15,1.9749999999999999,216.05,-5.086307010054588,True,0.7115677935032806,36.578512396694215,317.74380165289256,88.95867768595043,4.117544832308431,0.45454545454545464,5.537190082644628,3.8595041322314048,1.4545454545454546,288.1487603305785,6.985040951858868
711,2016_07_OAK_JAX,B.Bortles,JAX,LV,2016,7,246.0,True,41.0,outdoors,grass,0.6190988579072243,32.89256198347108,295.59504132231405,104.41322314049587,0.1648550151793423,0.9504132231404959,3.900826446280991,2.3801652892561984,1.322314049586777,252.83471074380168,-0.8083305890895119,False,0.7868940206346932,26.516483516483515,247.36263736263737,117.67032967032968,9.608670818936695,0.5027472527472528,2.005494505494506,1.2967032967032968,1.0000000000000002,261.2472527472528,16.186494827598004
712,2016_08_JAX_TEN,B.Bortles,JAX,TEN,2016,8,337.0,False,54.0,outdoors,grass,0.5802968003592649,38.30494505494506,316.56043956043953,108.81043956043956,-5.48211045710595,1.6510989010989012,6.637362637362637,1.4587912087912087,1.1071428571428572,248.27197802197804,-6.991486601122133,True,0.685031020357755,37.817017383348585,364.96614821591953,122.41079597438244,12.06023158167113,0.2086001829826167,6.360475754803295,3.156450137236963,2.505946935041171,333.77310155535224,5.6716138837213155
713,2016_09_JAX_KC,B.Bortles,JAX,KC,2016,9,252.0,False,40.0,outdoors,grass,0.6008490672486699,48.77310155535225,378.8819762122598,118.27447392497713,2.614110614221683,0.5498627630375116,4.211344922232388,1.8197621225983531,2.3696248856358646,307.4510521500457,-4.189538733193554,True,0.6292738930849667,36.3732845379689,266.7740164684355,119.42086001829827,-3.6708031975666753,1.018298261665142,8.473010064043915,4.4281793229643185,2.2021957913998174,248.24794144556267,-5.131864858677053
714,2016_10_HOU_JAX,B.Bortles,JAX,HOU,2016,10,265.0,True,48.0,outdoors,grass,0.5669445294432525,42.9234756097561,402.9643292682927,92.75426829268295,0.5614463436894302,0.8500000000000001,5.403963414634147,1.9399390243902441,2.1231707317073174,270.47804878048777,-3.1623135422788016,False,0.637930418160267,36.25640243902439,227.32439024390246,124.7283536585366,-0.034104657609288117,0.0826219512195122,3.3320121951219512,0.9545731707317073,1.0128048780487806,222.46189024390245,-2.789802617416149
715,2016_11_JAX_DET,B.Bortles,JAX,DET,2016,11,202.0,False,33.0,dome,fieldturf,0.633429345282921,46.3079971547607,405.65491311858557,94.2514988314196,0.22097849778050446,0.9500050807844732,5.801341327100904,1.9799817091758969,2.041052738542831,266.8258307082613,-0.698121749213672,True,0.7633616213584841,36.9437049080378,234.15364292246724,142.4560512143075,4.956691171383788,0.2554618433086069,5.896860075195611,2.206076618229855,1.0637130372929582,256.6551163499645,7.235425684221006
716,2016_12_JAX_BUF,B.Bortles,JAX,BUF,2016,12,126.0,False,26.0,outdoors,a_turf,0.6555879480421115,37.43584880097548,313.21673892426503,128.75108386397508,-0.9529523975827187,1.6500135482996883,5.267104728356592,0.6599715485706544,2.013683782685273,223.60787833626878,-1.1773983618077215,True,0.6416671579748356,35.86831052702886,311.84026554667395,79.3691911665086,-3.111877269117251,1.3400623221785664,3.7097276791762632,1.9908210269611164,1.4404890936187509,231.64523777265956,1.3395284579322608
717,2016_13_DEN_JAX,B.Bortles,JAX,DEN,2016,13,181.0,True,40.0,outdoors,grass,0.5518620638117181,29.81190656294808,272.4053492599325,67.58334932767323,-1.421447859656665,0.5499983064816593,4.422363474196426,1.5533288925519064,2.004561209397898,158.53559211046257,-6.0793942492592565,False,0.6418192439974811,38.50698294062525,220.27203549614447,119.08254208393079,-5.616427454784981,0.5192778837794814,6.758470414234587,4.4868413624919565,1.3864270150045725,236.11861402458993,-0.24456744274891692
718,2016_14_MIN_JAX,B.Bortles,JAX,MIN,2016,14,257.0,True,37.0,outdoors,grass,0.5006205875437186,36.60398163480355,266.80177254252595,102.5278488634653,-20.998835243919732,1.5166679211199758,7.474126900496763,1.1844422700587085,0.6681845551708566,173.51189221737167,-15.35229422024161,False,0.6446925646394838,24.333264338401328,224.68327562848114,74.08357669727533,-6.182168270584045,0.1587309950323649,7.538096492548548,2.7779655276230617,1.1068643685082042,168.07337799187115,0.8402862247814797
719,2016_15_JAX_HOU,B.Bortles,JAX,HOU,2016,15,92.0,False,27.0,closed,fieldturf,0.5812879856006405,36.86799404386316,287.6006038930655,129.50929987794183,-7.404002814619188,0.50555533951109,7.1580421019091505,3.06148193401333,0.8893949904724391,229.17066564972444,-7.350943240156993,True,0.6018314430520612,38.766488827225615,347.4458547269623,103.41862183423423,-3.937373929138166,1.4406700779390864,10.285321283906262,0.9833521710168962,2.0947035793271374,258.75089473770043,-3.7204626114064734
720,2016_16_TEN_JAX,B.Bortles,JAX,TEN,2016,16,325.0,True,38.0,outdoors,grass,0.4900589412970291,30.289329972519155,265.86686342036995,72.5030880407312,-13.086222773393537,0.8351851820877748,5.719347066507658,2.353827163384744,0.2964648728571883,137.72353609725175,-15.715449066248777,False,0.5856566667082814,34.667496834601444,285.1755508295268,93.78161760647365,-1.6449539325324871,0.8560625954428297,4.167516905820821,1.4298837040097276,0.5196639408835686,220.65556533098277,-5.163158933975939
722,2016_17_JAX_IND,B.Bortles,JAX,IND,2016,17,301.0,False,39.0,closed,fieldturf,0.6194933486956067,35.429777015752975,292.62228967142164,127.50103317981176,4.340478480543328,0.2783950218922614,3.2397821826974127,2.117942371355698,0.7654883236394467,262.574520733497,-3.2228684365995806,True,0.6913199955642824,34.58053722005009,301.5631262759684,112.80061141943503,4.095675984138965,0.37131917931583086,2.6757632951250785,1.9683458794698359,2.0588292933273102,257.9202567777641,6.006891652398858
724,2017_02_TEN_JAX,B.Bortles,JAX,TEN,2017,2,223.0,True,32.0,outdoors,grass,0.523809552192688,21.0,173.0,58.0,1.923327922821045,0.0,3.0,0.0,1.0,125.0,-7.060036659240723,False,0.6875,32.0,197.0,138.0,9.318015098571777,0.0,3.0,2.0,2.0,262.0,3.5776896476745605
725,2017_03_BAL_JAX,B.Bortles,JAX,BAL,2017,3,244.0,True,31.0,outdoors,grass,0.599702388048172,29.249999999999996,269.0,83.5,-7.44910967350006,1.4999999999999998,4.499999999999999,1.4999999999999998,1.0,198.5,-6.480532884597778,False,0.5428850054740905,35.24999999999999,424.49999999999994,107.99999999999999,-17.462832927703854,4.0,8.249999999999998,3.5,0.7499999999999999,267.5,-9.865803480148314
727,2017_04_JAX_NYJ,B.Bortles,JAX,NYJ,2017,4,140.0,False,34.0,outdoors,fieldturf,0.6311739224653977,30.461538461538456,212.92307692307693,110.84615384615384,8.815324893364538,0.4615384615384615,2.7692307692307687,0.4615384615384615,3.0769230769230766,229.99999999999997,3.469537404867318,True,0.6537491358243501,38.30769230769231,372.7692307692307,70.07692307692307,-4.491154560675986,1.4615384615384615,5.153846153846153,2.2307692307692304,1.5384615384615383,222.61538461538458,0.9614376654991736
728,2017_05_JAX_PIT,B.Bortles,JAX,PIT,2017,5,95.0,False,13.0,outdoors,grass,0.5029256448149682,32.85,234.575,98.8,-5.198548877239227,0.825,4.95,0.825,1.675,169.25,-11.752646553516387,True,0.6824293673038482,38.675,251.47499999999997,72.775,-10.449148273468017,1.5999999999999999,4.85,3.475,0.9249999999999999,199.42499999999998,-0.9137759387493133
729,2017_06_LA_JAX,B.Bortles,JAX,LA,2017,6,241.0,True,34.0,outdoors,grass,0.578208111534434,19.56198347107438,153.85950413223142,68.14049586776859,-3.1387707300422605,0.9421487603305786,4.983471074380166,1.6115702479338843,0.5537190082644629,119.54545454545455,-7.583473386843343,False,0.6591252871781341,34.5206611570248,304.4380165289257,96.20661157024794,-5.290839940063224,1.6528925619834713,9.586776859504132,2.834710743801653,1.5123966942148763,219.38842975206612,2.4699966020820554
